Primary Type,count
THEFT,115565
BATTERY,88681
CRIMINAL DAMAGE,54770
ASSAULT,45041
MOTOR VEHICLE THEFT,38942
OTHER OFFENSE,33866
DECEPTIVE PRACTICE,30950
BURGLARY,18139
ROBBERY,14934
NARCOTICS,13407
WEAPONS VIOLATION,13285
CRIMINAL TRESPASS,10274
CRIMINAL SEXUAL ASSAULT,3287
OFFENSE INVOLVING CHILDREN,3222
SEX OFFENSE,2558
PUBLIC PEACE VIOLATION,2035
INTERFERENCE WITH PUBLIC OFFICER,1606
STALKING,1087
HOMICIDE,1022
ARSON,853
PROSTITUTION,496
CONCEALED CARRY LICENSE VIOLATION,473
LIQUOR LAW VIOLATION,396
INTIMIDATION,307
KIDNAPPING,186
OBSCENITY,116
GAMBLING,35
HUMAN TRAFFICKING,34
PUBLIC INDECENCY,19
OTHER NARCOTIC VIOLATION,15
NON-CRIMINAL,6
